licno,place_id,name_tc,place_name_tc,name_en,place_name_en,adr_tc,place_adr_tc,adr_en,place_adr_en
2211030562,Ej1HLCBBaWsgU2FuIE1hbnNpb24sIDM1NS0zNjEgS2luZydzIFJkLCBOb3J0aCBQb2ludCwgSG9uZyBLb25nIh0aGwoWChQKEglHHLGBBAEENBFmR3F-4kxySxIBRw,McDonald's,英皇道355-361號G,McDonald's,"G, 355-361 King's Rd","香港北角 英皇道355至361號 地下A, B及C鋪 McDonald's",香港北角英皇道355-361號益新洋樓G,"McDonald's, SHOP A & B & C, G/F, 355-361 KING'S ROAD, HONG KONG","G, Aik San Mansion, 355-361 King's Rd, North Point, Hong Kong"
2211030562,Ej1GLCBBaWsgU2FuIE1hbnNpb24sIDM1NS0zNjEgS2luZydzIFJkLCBOb3J0aCBQb2ludCwgSG9uZyBLb25nIh0aGwoWChQKEglHHLGBBAEENBFmR3F-4kxySxIBRg,McDonald's,英皇道355-361號F,McDonald's,"F, 355-361 King's Rd","香港北角 英皇道355至361號 地下A, B及C鋪 McDonald's",香港北角英皇道355-361號益新洋樓F,"McDonald's, SHOP A & B & C, G/F, 355-361 KING'S ROAD, HONG KONG","F, Aik San Mansion, 355-361 King's Rd, North Point, Hong Kong"
2211030562,ChIJu6exgQQBBDQRi4eS3UsKXK0,McDonald's,麥當勞,McDonald's,McDonald's,"香港北角 英皇道355至361號 地下A, B及C鋪 McDonald's",香港北角英皇道益新洋樓,"McDonald's, SHOP A & B & C, G/F, 355-361 KING'S ROAD, HONG KONG","Aik San Mansion, King's Rd, North Point, Hong Kong"
2211030562,ChIJaQqPhwEBBDQRm4Ood65vXiY,McDonald's,麥當勞,McDonald's,McDonald's,"香港北角 英皇道355至361號 地下A, B及C鋪 McDonald's","Fortress Metro Tower, 238 King's Rd, Fortress Hill, 香港","McDonald's, SHOP A & B & C, G/F, 355-361 KING'S ROAD, HONG KONG","Fortress Metro Tower, 238 King's Rd, Fortress Hill, Hong Kong"
2211030775,ChIJKxnU0A0BBDQRMZmP4Q2wQOw,炳記,炳記小廚,炳記,Ping Kee,香港鰂魚涌 英皇道911號地下 炳記,"G/F, 911 King's Road, Quarry Bay, Quarry Bay, 香港","炳記, G/F, 911 KING'S ROAD, QUARRY BAY, HONG KONG","G/F, 911 King's Road, Quarry Bay, Quarry Bay, Hong Kong"
2211030775,EjPlnLDkuIsg54Kz6KiYLCA5MTEgS2luZydzIFJkLCBRdWFycnkgQmF5LCBIb25nIEtvbmciLhosChsSGQoUChIJndcu2Q0BBDQRIIS5OUPMSj0QjwcSDeWcsOS4iyDngrPoqJg,炳記,英皇道911號地下 炳記,炳記,"地下 炳記, 911 King's Rd",香港鰂魚涌 英皇道911號地下 炳記,香港鰂魚涌英皇道911號地下 炳記,"炳記, G/F, 911 KING'S ROAD, QUARRY BAY, HONG KONG","地下 炳記, 911 King's Rd, Quarry Bay, Hong Kong"
2211063449,ChIJwcrHwAQBBDQR0DZXJl8gav0,樂德,樂德茶餐廳,樂德,Lok Tak Restaurant,香港北角 渣華道80號地下 樂德,香港北角渣華道80號,"樂德, G/F, 80 JAVA ROAD, NORTH POINT, HONG KONG","80 Java Rd, North Point, Hong Kong"
2211063449,EjHlnLDkuIsg5qiC5b63LCA4MCBKYXZhIFJkLCBOb3J0aCBQb2ludCwgSG9uZyBLb25nIi0aKwoaEhgKFAoSCTUhZ8QEAQQ0Ed97cIEGRNyREFASDeWcsOS4iyDmqILlvrc,樂德,渣華道80號地下 樂德,樂德,"地下 樂德, 80 Java Rd",香港北角 渣華道80號地下 樂德,香港北角渣華道80號地下 樂德,"樂德, G/F, 80 JAVA ROAD, NORTH POINT, HONG KONG","地下 樂德, 80 Java Rd, North Point, Hong Kong"
2211063704,ChIJD_H6hQQBBDQRRUc3ptTb8DM,新釗記茶餐廳,新釗記,新釗記茶餐廳,Sun Chiu Kee,香港北角 英皇道473號地下及閣樓 新釗記茶餐廳,香港北角英皇道377號,"新釗記茶餐廳, G/F & C/L, 473 KING'S ROAD, NORTH POINT, HONG KONG","377 King's Rd, North Point, Hong Kong"
2211063704,ChIJH-3UPQUBBDQRJ3Lx-QAqCDc,新釗記茶餐廳,新釗記,新釗記茶餐廳,新釗記,香港北角 英皇道473號地下及閣樓 新釗記茶餐廳,香港北角英皇道475號英皇道475號,"新釗記茶餐廳, G/F & C/L, 473 KING'S ROAD, NORTH POINT, HONG KONG","475 King's Road, 475 King's Rd, North Point, Hong Kong"
2211074133,ChIJUXA9RoYBBDQRLsxbPgLfjUc,富臨皇宮,OK 便利店,富臨皇宮,Circle K,"香港柴灣 康翠臺商場第4層(部分) 第5層(部分), 第6層及天台(部分) 富臨皇宮","商場 L5 樓 3A 號舖及部份 3B 號舖 Chai Wan, 16號康翠臺, Tai Man St, Chai Wan, 香港","富臨皇宮, LEVEL 4(PTN), L5(PORT), L6 & ROOF(PORT), CWIL 118, GREENWOOD TERRACE COMM COMPLEX, HONG MAN STREET, CHAI WAN, HONG KONG","商場 L5 樓 3A 號舖及部份 3B 號舖 Chai Wan, 16號康翠臺, Tai Man St, Chai Wan, Hong Kong"
2211076689,ChIJ6Xqpr3QBBDQRp_gD8Ri5zVI,MX/Deli-O,Aeon Style,MX/Deli-O,Aeon,香港鰂魚涌 康山道1號 康怡廣場(北)地下G3號鋪 MX/Deli-O,香港鰂魚涌康山道2號,"MX/Deli-O, SHOP G3, G/F, KORNHILL PLAZA (NORTH), 1 KORNHILL ROAD, HONG KONG","2 Kornhill Rd, Quarry Bay, Hong Kong"
